model,n_params_mean,n_params_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,time_to_best_mean_s
LSTM,2472,0,0.79547787,0.018186452,1.0367430845896404,0.018785197622064983,5.3508838812510175
Transformer,10808,0,0.7168322,0.0056399633,0.958723247051239,0.0032817512213911735,130.20666495958963
